 
                                                                                                                                                                                                                                                                
 
ticker      evtdate       car

 EGAS     12FEB2014     0.02356
 EGAS     27JUL2012    -0.00276
 HGR      03JUL2002     0.01478
 HGR      03MAY2005    -0.05070
 HGR      05AUG2002     0.02337
 HGR      20JAN2004     0.04206
 HGR      21MAY2009    -0.00972
 HGR      22NOV2002     0.04210
 HGR      23JAN2007     0.02951
 HGR      26SEP2008    -0.01502
 HGR      27OCT2005    -0.06894
 SUNW     01AUG2007    -0.00760
 SUNW     01MAY2002    -0.19635
 SUNW     01SEP2005     0.00784
 SUNW     02SEP2003     0.02147
 SUNW     03FEB2004    -0.01347
 SUNW     05AUG2002     0.04603
 SUNW     04NOV2002    -0.08694
 SUNW     04OCT2005     0.04127
 SUNW     04OCT2006    -0.03114
 SUNW     06AUG2007    -0.01459
 SUNW     05FEB2002    -0.03621
 SUNW     05MAY2006     0.01280
 SUNW     07JAN2004     0.06926
 SUNW     09JUL2001     0.09449
 SUNW     09JUN2003     0.00584
 SUNW     09MAR2004     0.00353
 SUNW     09MAR2006     0.05243
 SUNW     10DEC2003     0.00068
 SUNW     10MAY2002     0.00582
 SUNW     11AUG2004    -0.06018
 SUNW     11FEB2002    -0.05013
 SUNW     12AUG2005     0.00465
 SUNW     12JAN2001    -0.00795
 SUNW     13MAY2002     0.02218
 SUNW     15SEP2003     0.02735
 SUNW     14JAN2005    -0.06241
 SUNW     14JUN2004    -0.02460
 SUNW     15APR2005    -0.08502
 SUNW     15AUG2002    -0.07334
 SUNW     15OCT2004    -0.01499
 SUNW     15SEP2004    -0.04244
 SUNW     17JAN2003     0.02752
 SUNW     19JAN2001    -0.12415
 SUNW     20APR2001    -0.07939
 SUNW     20JUL2001     0.03986
 SUNW     20JUL2006     0.01263
 SUNW     20MAY2002    -0.00544
 SUNW     21FEB2001    -0.02844
 SUNW     24DEC2002     0.10980
 SUNW     26JUL2006     0.06176
 SUNW     26NOV2002     0.04163
 SUNW     28JAN2002     0.01189
 SUNW     28MAR2001    -0.01069
 SUNW     29JUL2002    -0.04982
 ORCL     01FEB2010     0.01332
 ORCL     02JUN2008     0.01967
 ORCL     02MAR2001    -0.21242
 ORCL     05AUG2002    -0.00014
 ORCL     04MAR2002    -0.17275
 ORCL     04NOV2002    -0.07584
 ORCL     04OCT2006     0.01238
 ORCL     06AUG2007    -0.02901
 ORCL     05MAR2008     0.05570
 ORCL     05MAY2014     0.01020
 ORCL     06MAR2008     0.05488
 ORCL     09SEP2002    -0.01365
 ORCL     08SEP2009     0.00388
 ORCL     09JUL2009    -0.00490
 ORCL     10DEC2004     0.09041
 ORCL     10FEB2006    -0.01677
 ORCL     10MAY2002    -0.00019
 ORCL     11JUL2008    -0.03769
 ORCL     11NOV2010     0.00661
 ORCL     12DEC2013    -0.03492
 ORCL     12JUL2011    -0.01153
 ORCL     12JUN2014    -0.01002
 ORCL     12NOV2007     0.04388
 ORCL     12NOV2009     0.02117
 ORCL     13OCT2003    -0.01023
 ORCL     14DEC2004    -0.05481
 ORCL     15DEC2014     0.03022
 ORCL     15NOV2007     0.03408
 ORCL     17AUG2007    -0.03491
 ORCL     18MAR2002     0.02228
 ORCL     19APR2001     0.08283
 ORCL     21JAN2003     0.03017
 ORCL     19JUN2001     0.13349
 ORCL     19JUN2014    -0.04954
 ORCL     20SEP2006     0.11605
 ORCL     22SEP2006    -0.01726
 ORCL     23APR2001    -0.06473
 ORCL     23MAY2005     0.00957
 ORCL     23SEP2005    -0.08766
 ORCL     24APR2006     0.03391
 ORCL     24SEP2002     0.05791
 ORCL     25OCT2001    -0.11837
 ORCL     26JAN2005     0.01081
 ORCL     27JUL2012     0.00707
 ORCL     27JUN2007     0.02206
 ORCL     27MAY2014    -0.01509
 ORCL     29SEP2008     0.01826
 ORCL     31JAN2002    -0.01755
 MSFT     01AUG2006     0.00422
 MSFT     01JUN2001     0.01397
 MSFT     02JUN2008    -0.02386
 MSFT     01MAY2001    -0.03270
 MSFT     02SEP2003     0.06043
 MSFT     05MAY2008     0.00550
 MSFT     04NOV2002     0.02338
 MSFT     04OCT2006     0.00099
 MSFT     04SEP2013    -0.03087
 MSFT     06AUG2007    -0.02835
 MSFT     05DEC2002    -0.01012
 MSFT     05FEB2002     0.00076
 MSFT     07MAY2001     0.02229
 MSFT     07MAY2008    -0.01554
